#   8Li + 208Pb elastic scattering Elab=31 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       3.27       -94.0993     0.0000E+00
       3.28       -94.1133     0.0000E+00
       3.29       -94.1275     0.0000E+00
       3.30       -94.1416     0.0000E+00
       3.31       -94.1557     0.0000E+00
       3.32       -94.1699     0.0000E+00
       3.33       -94.1842     0.0000E+00
       3.34       -94.1984     0.0000E+00
       3.35       -94.2126     0.0000E+00
       3.36       -94.2269     0.0000E+00
       3.37       -94.2413     0.0000E+00
       3.38       -94.2557     0.0000E+00
       3.39       -94.2700     0.0000E+00
       3.40       -94.2844     0.0000E+00
       3.41       -94.2988     0.0000E+00
       3.42       -94.3133     0.0000E+00
       3.43       -94.3278     0.0000E+00
       3.44       -94.3424     0.0000E+00
       3.45       -94.3569     0.0000E+00
       3.46       -94.3715     0.0000E+00
       3.47       -94.3861     0.0000E+00
       3.48       -94.4007     0.0000E+00
       3.49       -94.4154     0.0000E+00
       3.50       -94.4301     0.0000E+00
       3.51       -94.4448     0.0000E+00
       3.52       -94.4596     0.0000E+00
       3.53       -94.4743     0.0000E+00
       3.54       -94.4891     0.0000E+00
       3.55       -94.5039     0.0000E+00
       3.56       -94.5187     0.0000E+00
       3.57       -94.5336     0.0000E+00
       3.58       -94.5484     0.0000E+00
       3.59       -94.5634     0.0000E+00
       3.60       -94.5783     0.0000E+00
       3.61       -94.5933     0.0000E+00
       3.62       -94.6082     0.0000E+00
       3.63       -94.6233     0.0000E+00
       3.64       -94.6383     0.0000E+00
       3.65       -94.6534     0.0000E+00
       3.66       -94.6685     0.0000E+00
       3.67       -94.6835     0.0000E+00
       3.68       -94.6986     0.0000E+00
       3.69       -94.7137     0.0000E+00
       3.70       -94.7289     0.0000E+00
       3.71       -94.7441     0.0000E+00
       3.72       -94.7593     0.0000E+00
       3.73       -94.7745     0.0000E+00
       3.74       -94.7897     0.0000E+00
       3.75       -94.8050     0.0000E+00
       3.76       -94.8202     0.0000E+00
       3.77       -94.8355     0.0000E+00
       3.78       -94.8508     0.0000E+00
       3.79       -94.8662     0.0000E+00
       3.80       -94.8814     0.0000E+00
       3.81       -94.8968     0.0000E+00
       3.82       -94.9122     0.0000E+00
       3.83       -94.9276     0.0000E+00
       3.84       -94.9429     0.0000E+00
       3.85       -94.9583     0.0000E+00
       3.86       -94.9738     0.0000E+00
       3.87       -94.9892     0.0000E+00
       3.88       -95.0047     0.0000E+00
       3.89       -95.0202     0.0000E+00
       3.90       -95.0357     0.0000E+00
       3.91       -95.0512     0.0000E+00
       3.92       -95.0667     0.0000E+00
       3.93       -95.0821     0.0000E+00
       3.94       -95.0977     0.0000E+00
       3.95       -95.1132     0.0000E+00
       3.96       -95.1287     0.0000E+00
       3.97       -95.1443     0.0000E+00
       3.98       -95.1599     0.0000E+00
       3.99       -95.1754     0.0000E+00
       4.00       -95.1910     0.0000E+00
       4.01       -95.2067     0.0000E+00
       4.02       -95.2222     0.0000E+00
       4.03       -95.2379     0.0000E+00
       4.04       -95.2535     0.0000E+00
       4.05       -95.2691     0.0000E+00
       4.06       -95.2847     0.0000E+00
       4.07       -95.3003     0.0000E+00
       4.08       -95.3160     0.0000E+00
       4.09       -95.3316     0.0000E+00
       4.10       -95.3472     0.0000E+00
       4.11       -95.3629     0.0000E+00
       4.12       -95.3785     0.0000E+00
       4.13       -95.3942     0.0000E+00
       4.14       -95.4099     0.0000E+00
       4.15       -95.4254     0.0000E+00
       4.16       -95.4411     0.0000E+00
       4.17       -95.4568     0.0000E+00
       4.18       -95.4724     0.0000E+00
       4.19       -95.4880     0.0000E+00
       4.20       -95.5037     0.0000E+00
       4.21       -95.5193     0.0000E+00
       4.22       -95.5349     0.0000E+00
       4.23       -95.5506     0.0000E+00
       4.24       -95.5662     0.0000E+00
       4.25       -95.5818     0.0000E+00
       4.26       -95.5975     0.0000E+00
       4.27       -95.6131     0.0000E+00
       4.28       -95.6287     0.0000E+00
       4.29       -95.6442     0.0000E+00
       4.30       -95.6598     0.0000E+00
       4.31       -95.6753     0.0000E+00
       4.32       -95.6909     0.0000E+00
       4.33       -95.7065     0.0000E+00
       4.34       -95.7221     0.0000E+00
       4.35       -95.7376     0.0000E+00
       4.36       -95.7531     0.0000E+00
       4.37       -95.7686     0.0000E+00
       4.38       -95.7841     0.0000E+00
       4.39       -95.7995     0.0000E+00
       4.40       -95.8150     0.0000E+00
       4.41       -95.8304     0.0000E+00
       4.42       -95.8458     0.0000E+00
       4.43       -95.8613     0.0000E+00
       4.44       -95.8766     0.0000E+00
       4.45       -95.8919     0.0000E+00
       4.46       -95.9072     0.0000E+00
       4.47       -95.9226     0.0000E+00
       4.48       -95.9379     0.0000E+00
       4.49       -95.9532     0.0000E+00
       4.50       -95.9684     0.0000E+00
       4.51       -95.9836     0.0000E+00
       4.52       -95.9988     0.0000E+00
       4.53       -96.0140     0.0000E+00
       4.54       -96.0291     0.0000E+00
       4.55       -96.0442     0.0000E+00
       4.56       -96.0593     0.0000E+00
       4.57       -96.0743     0.0000E+00
       4.58       -96.0893     0.0000E+00
       4.59       -96.1043     0.0000E+00
       4.60       -96.1192     0.0000E+00
       4.61       -96.1342     0.0000E+00
       4.62       -96.1490     0.0000E+00
       4.63       -96.1638     0.0000E+00
       4.64       -96.1786     0.0000E+00
       4.65       -96.1934     0.0000E+00
       4.66       -96.2081     0.0000E+00
       4.67       -96.2228     0.0000E+00
       4.68       -96.2374     0.0000E+00
       4.69       -96.2520     0.0000E+00
       4.70       -96.2665     0.0000E+00
       4.71       -96.2810     0.0000E+00
       4.72       -96.2955     0.0000E+00
       4.73       -96.3099     0.0000E+00
       4.74       -96.3243     0.0000E+00
       4.75       -96.3386     0.0000E+00
       4.76       -96.3528     0.0000E+00
       4.77       -96.3670     0.0000E+00
       4.78       -96.3812     0.0000E+00
       4.79       -96.3953     0.0000E+00
       4.80       -96.4093     0.0000E+00
       4.81       -96.4233     0.0000E+00
       4.82       -96.4372     0.0000E+00
       4.83       -96.4510     0.0000E+00
       4.84       -96.4648     0.0000E+00
       4.85       -96.4786     0.0000E+00
       4.86       -96.4922     0.0000E+00
       4.87       -96.5058     0.0000E+00
       4.88       -96.5194     0.0000E+00
       4.89       -96.5328     0.0000E+00
       4.90       -96.5462     0.0000E+00
       4.91       -96.5595     0.0000E+00
       4.92       -96.5728     0.0000E+00
       4.93       -96.5860     0.0000E+00
       4.94       -96.5991     0.0000E+00
       4.95       -96.6121     0.0000E+00
       4.96       -96.6250     0.0000E+00
       4.97       -96.6378     0.0000E+00
       4.98       -96.6506     0.0000E+00
       4.99       -96.6633     0.0000E+00
       5.00       -96.6760     0.0000E+00
       5.01       -96.6884     0.0000E+00
       5.02       -96.7009     0.0000E+00
       5.03       -96.7132     0.0000E+00
       5.04       -96.7255     0.0000E+00
       5.05       -96.7376     0.0000E+00
       5.06       -96.7497     0.0000E+00
       5.07       -96.7616     0.0000E+00
       5.08       -96.7736     0.0000E+00
       5.09       -96.7853     0.0000E+00
       5.10       -96.7970     0.0000E+00
       5.11       -96.8085     0.0000E+00
       5.12       -96.8199     0.0000E+00
       5.13       -96.8313     0.0000E+00
       5.14       -96.8425     0.0000E+00
       5.15       -96.8536     0.0000E+00
       5.16       -96.8646     0.0000E+00
       5.17       -96.8756     0.0000E+00
       5.18       -96.8863     0.0000E+00
       5.19       -96.8970     0.0000E+00
       5.20       -96.9075     0.0000E+00
       5.21       -96.9180     0.0000E+00
       5.22       -96.9283     0.0000E+00
       5.23       -96.9384     0.0000E+00
       5.24       -96.9484     0.0000E+00
       5.25       -96.9582     0.0000E+00
       5.26       -96.9680     0.0000E+00
       5.27       -96.9777     0.0000E+00
       5.28       -96.9872     0.0000E+00
       5.29       -96.9965     0.0000E+00
       5.30       -97.0057     0.0000E+00
       5.31       -97.0147     0.0000E+00
       5.32       -97.0236     0.0000E+00
       5.33       -97.0324     0.0000E+00
       5.34       -97.0409     0.0000E+00
       5.35       -97.0495     0.0000E+00
       5.36       -97.0577     0.0000E+00
       5.37       -97.0658     0.0000E+00
       5.38       -97.0738     0.0000E+00
       5.39       -97.0816     0.0000E+00
       5.40       -97.0892     0.0000E+00
